player,team,points,assists,rebounds,game_date
LeBron James,LAL,28,8,7,2024-03-01
Anthony Davis,LAL,22,3,12,2024-03-01
LeBron James,LAL,31,9,8,2024-03-03
Stephen Curry,GSW,35,6,5,2024-03-02
Stephen Curry,GSW,,7,4,2024-03-04
Klay Thompson,GSW,27,4,3,2021-12-26
Luka Doncic,LAL,,10,9,2024-03-01
LeBron James,LAL,24,7,6,2024-03-05
Anthony Davis,LAL,30,4,14,2024-03-05
Stephen Curry,GSW,41,8,6,2024-03-06
Klay Thompson,GSW,19,2,4,2024-03-06
Luka Doncic,LAL,38,11,10,2024-03-07
LeBron James,LAL,26,6,9,2024-03-07
Anthony Davis,LAL,18,2,11,2024-03-07
Stephen Curry,GSW,29,5,5,2024-03-08
Klay Thompson,GSW,33,3,2,2024-03-08
Luka Doncic,LAL,42,9,8,2024-03-09
LeBron James,LAL,21,10,7,2024-03-09
Anthony Davis,LAL,27,3,13,2024-03-09
Stephen Curry,GSW,36,7,4,2024-03-10
Klay Thompson,GSW,25,4,3,2024-03-10
Luka Doncic,LAL,34,,11,2024-03-10
Jayson Tatum,BOS,32,6,9,2024-03-11
Jaylen Brown,BOS,28,4,7,2024-03-11
Jayson Tatum,BOS,26,5,8,2024-03-13
Jaylen Brown,BOS,24,3,6,2024-03-13
Giannis Antetokounmpo,MIL,37,7,12,2024-03-14
Giannis Antetokounmpo,MIL,29,6,10,2024-03-16
Nikola Jokic,DEN,21,12,14,2024-03-17
Nikola Jokic,DEN,27,9,11,2024-03-19
